env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,condition,num_unique_notebook_hashes,notebook_hash,notebook_size_lines,min_notebook_size_lines,max_notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,1,8,160,8,0.05,0.05,0.02672612419124244,0.00944911182523068,0.0,0.1,original,1,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11.0,11,11,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True,True
frozen_lake,1,8,160,13,0.08125,0.08125,0.07039429765866795,0.024888142615654203,0.0,0.2,updated,8,25a9f179a9db45717f4b9d41c2cbc5c9c407ad2f2b18a6ffbe01d094d4eee63e;614ce92845873105ffeef49b85f64f4b625ec4d4c0a52db0a17769096e655f64;64f9175d44bd7addb39c1a64fe4baf38028851dd4476032275f5a6a0066d4297;6a17e94817482503d5d6ed1654190b5a14040ff2f259ac6f3752b435bec95725;ab0ae2f1d7ab2973fe791fd7149e4d2419fbc836ab2d2ea8f0118111456abd10;ca3e73e9610509c7b74a9cc7da0a948ded7059862438fa796cfa42cae0c3fbde;cc0ef23aa4bcc88de78bafe55ce571b0ed1a8d258e77f52b1e0876f1c2264985;eec286df447f3766001dde8216eb0bb59cf776ae1cba69679283de01b0efccf7,14.125,13,15,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True,True
frozen_lake,5,8,160,12,0.075,0.075,0.08017837257372731,0.02834733547569204,0.0,0.25,original,1,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15.0,15,15,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15,True,True
frozen_lake,5,8,160,21,0.13125,0.13125,0.07039429765866795,0.024888142615654203,0.0,0.2,updated,6,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276;6afc817f437a152ecf1637f176ac7ca6eab9dc61cd2c2827f83a7b84b8fac40e;70853fc38e681a85c49c29f4ff18a7b68cd3dee27a1f9ec9900f642e8b9fcf77;710abbcc4926fb7cb20d792cfc45201d3e2f0f0f2de0e34721e121aef1eb555d;c19787b046f5766083bbb9ff10fd40712f7892d5e1969aceded30d639e302e44;d8e3d26f3aaaf618d73b4258429431e9f8b0642c385e05ce265dc8b322acf82a,17.25,15,22,029f66c49f5093267aed915e2f6cd31ddc930ecc2c6ec18b34f24d527802b276,15,True,True
frozen_lake,9,8,160,10,0.0625,0.0625,0.05824823725107175,0.020593861776197847,0.0,0.15,original,1,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16.0,16,16,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16,True,True
frozen_lake,9,8,160,27,0.16875,0.16875,0.17100020885534448,0.060457703632964994,0.0,0.45,updated,5,1c8c8c7346437a94073c37d469acee297178e272149ba864dccbddcc88897265;34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3;68a1acb0aaba39d65800eac29b06d521122bf73201c2f00ad7bb9f4d92d7012c;831dedeb82bfc76203b5cd5ce2280a44d6e7917c5ba7a4e0759676eaf5d489f1;fa88a2d43912717b84f7c1f098d19ffb48959fcae4272ce5c4fbed1163e7a15d,16.25,16,18,34159ea0bcaa0364e9c27dc859ac8166651ed615b90c257320ea5c14c604ffc3,16,True,True
frozen_lake,13,8,160,22,0.1375,0.1375,0.07905694150420949,0.02795084971874737,0.0,0.25,original,1,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21.0,21,21,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21,True,True
frozen_lake,13,8,160,23,0.14375,0.14375,0.09038607667745545,0.03195630387173799,0.0,0.3,updated,6,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642;4df407b477c9db02eadd5eb849fe74c3a0f9fcfb589ba74908cc2b4fefc286bd;6d6e3f212e1a3c7e7d730ed21904399b99d5e959640714bb58640b7d0d03195a;8903fd2feda6d9bfb58a1cf9921617a99f587b816cae6b136332a677949aac31;aa9574946a71ff36949fb4b2328e8dfdc495b9390c1bc68b4b2ac1abde031fb6;d99dfd1ca707a5c0d3a182519b47112f5aa677cf7a25208231ea9b30979331ae,22.125,21,23,24cd9913b8166ec26adaae8952c0aa1c4c9d80e7b02e85dddfd82ce22cf11642,21,True,True
frozen_lake,17,8,160,26,0.1625,0.1625,0.0876274581884664,0.030980984951602626,0.05,0.3,original,1,d405ba78ffd800e0b6ee0a8eda97f07c28cde4f7faa04602a7b2e35937f20b36,24.0,24,24,d405ba78ffd800e0b6ee0a8eda97f07c28cde4f7faa04602a7b2e35937f20b36,24,True,True
frozen_lake,17,8,160,25,0.15625,0.15625,0.09425459443140462,0.033324031440217,0.0,0.25,updated,8,1ed17880d8edef0d2bf6c48ae478505357b8903f0e895252d7bc41e8aeea210e;3451971ee3a5b0d47b37041b1cd71a18fbdd078246be1af8653197530f7298e7;62697a530d3de27a6189984451742796267b0027a1f903b24d7c8274234538bb;7e7bbba22663b06285d46638d68f974865a7f3f8fca0a5381866c66589a98df7;d405ba78ffd800e0b6ee0a8eda97f07c28cde4f7faa04602a7b2e35937f20b36;d673241034ab193718e84b57a8c119023b97cafd9bc193efe525c01fc1ce6e92;e4ac42c839145071a89456c2b3314a7d1848d2a21c1847ccc8c6a0be3231f98e;f834c349a4dd264a5a9c966150273353785b59c85c8984dd92c59dfce1b56b57,26.625,24,30,d405ba78ffd800e0b6ee0a8eda97f07c28cde4f7faa04602a7b2e35937f20b36,24,True,True
