env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,condition,num_unique_notebook_hashes,notebook_hash,notebook_size_lines,min_notebook_size_lines,max_notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,1,8,160,6,0.0375,0.037500000000000006,0.035355339059327376,0.012499999999999999,0.0,0.1,original,1,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11.0,11,11,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True,True
frozen_lake,1,8,160,34,0.2125,0.2125,0.17268882005337977,0.06105471784742414,0.0,0.55,updated,8,07048d2dd3bf3aec01b394676748139bf949ed72a4f02a30e59fcaf76a16c6e3;0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b;54a87fed0a959dd3533d561a5eddd09c292a168ceb5218d767f2befb3363af11;80af50d521992959813be8311dd17af3ecfffc100718a37a0c2400affa1e15de;80e76d677109854d259c92d802eccb5b1d27ad0e3e1fa77388e824a804e5da0f;befcf305b58167d2d30fa4090a2a09ac86dfb146bb9c9889bc743f26e96cfe3a;d16085b75695c85668b3a8f5aad3d811d7e4cfca77b15e40c24141ba057d80a0;daa8e7a2763bbf7ea3f9dd0316093892fcecfd6f7a809a5547dba227b0bb20fe,15.75,11,21,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True,True
frozen_lake,5,8,160,32,0.2,0.2,0.08451542547285165,0.029880715233359837,0.1,0.3,original,1,6985404befa64e279657405d12272fb58aa3ccecdde6cf813a76d6c3e8eff120,21.0,21,21,6985404befa64e279657405d12272fb58aa3ccecdde6cf813a76d6c3e8eff120,21,True,True
frozen_lake,5,8,160,25,0.15625,0.15625,0.04955156044825574,0.017519122205668376,0.1,0.25,updated,8,03d5a056a1df9ebd012238daeaac43e589905c2bde58bf8ab2e8a781f9e0c827;5ec57e22ec2299ad89a463a85e1aa76138834c410ae2b4081beee7cd77dc5da6;67671f3a24cdf8787dd79cba1a29b9c4a8468b8a9789ca2ae031ea85f2dec1e8;6c7d5c2b024be8edc2272a2537fa2ef092bd2fc731448e1bff6c8a44e3e5f8b0;6d64d9073768c6e907b79d7c2149d7b30ebc8639b5f7ce32ee9eb3fabfd5abf4;702e435148e786790f5d6b88048beb52a98007ea2518f94aa83cca942707752f;a009c1436ca1d4d489d5c6ad71796290d4fade1e4c69a24a31d58a88d7ff01ec;f259e69f1bfdde438a2d3eb7dce3f82f950a41b58fdf92065e257bbffe9e5e18,21.25,19,23,6985404befa64e279657405d12272fb58aa3ccecdde6cf813a76d6c3e8eff120,21,True,True
frozen_lake,9,8,160,26,0.1625,0.1625,0.03535533905932738,0.0125,0.1,0.2,original,1,e910e983a62605cd48905bcc58198eb5c41946bf0bb0e6224c753f8446e88a4b,20.0,20,20,e910e983a62605cd48905bcc58198eb5c41946bf0bb0e6224c753f8446e88a4b,20,True,True
frozen_lake,9,8,160,41,0.25625,0.25625,0.09038607667745546,0.031956303871738,0.15,0.4,updated,8,1741ed2342af116ce76bac6ee0ba72a48099d7cfa68ab289b37c505ae08371c1;24550f11bf0afdefd2f5a753f3b0297ea380fa266b248814ca25fd8165343f48;2ea6c741782dd6610a56a8d965b4699f30efdebc0d4e8ffa092b15b8b97b3ab7;55935f37a0432f6b6e2c93cadba513cbf436c8a739fe0dc7f2f5c40840edabdd;895b312fa61430bd694a784f3c0930daa5080b3c1f18d9802b7e6cf2c4c56d7f;b8bc9cd2a2d558a5c70bf338e08a5eafbfc67d434b8192797e8a8dd4cbe51fec;c03f2bbdaa8f8c0de3488c00e0fa41fa3066548fe4481df863d8077be12ec998;f0deed0698c9540574ef47e25092fe0e1dc2fd9e278e52cfe890234110e1b897,19.25,17,21,e910e983a62605cd48905bcc58198eb5c41946bf0bb0e6224c753f8446e88a4b,20,True,True
frozen_lake,13,8,160,44,0.275,0.275,0.05976143046671967,0.021128856368212906,0.2,0.35,original,1,9791a7138bcd2b94e23e49d803dcdbeabfb05035bd90f01a4c01beb39bf7aa7b,16.0,16,16,9791a7138bcd2b94e23e49d803dcdbeabfb05035bd90f01a4c01beb39bf7aa7b,16,True,True
frozen_lake,13,8,160,47,0.29375,0.29375,0.05629958132298017,0.019904907865721386,0.25,0.4,updated,7,2055d2fac9afb4744a75805a82f33ab733f2cfecdfedf1e76ed1cd5763c3e694;321f50fe12ac5db0c8add0a5e69497c9944fef27fa83450e14e67d831120903d;48c67c9562b98e44a28107e8f71bd38a721d008df04872f72689f0db05c3282f;76a5c29669116fc79eb93d3401c3e153ac84b819628bee896add52bfc288514a;77274cdfbf4c2fe63d7362b21c3941ae7cafec211b579624c7c83b172a395680;8acbea682e4060600c83d2b69a767233c7dcabfeea9801fd903076fc0b11e790;db391bc6003c87bc929eabf9d640c37ae44e1bb0ef6a329323633d80cc5cde0e,16.375,15,18,9791a7138bcd2b94e23e49d803dcdbeabfb05035bd90f01a4c01beb39bf7aa7b,16,True,True
frozen_lake,17,8,160,40,0.25,0.25,0.059761430466719674,0.02112885636821291,0.15,0.35,original,1,1fe6f1fea9bcb64e62af22bfd8e342d69236adbd2b98c6af9bd914293161457b,19.0,19,19,1fe6f1fea9bcb64e62af22bfd8e342d69236adbd2b98c6af9bd914293161457b,19,True,True
frozen_lake,17,8,160,39,0.24375,0.24375,0.041726148019814,0.014752421108802056,0.2,0.3,updated,8,3b764bbad8c96d536b62f1bf32afa36dd542b0b4eef12648583648deeed84f9b;4b92c1d7c1b81ccf8084bb3d9bae0d49c269a3ec70c9f56e54d961bc114e61b6;5cf3f7f499bfc36ac87e8876f1b3d00f2639d51065b9c96e81923f6b12cf59e8;6fcb8a68f0c964dbcce740e4bb3c5672a117cbab042261a8a2f6af29da15ef7f;876fe62fe4863259643160fd73a0f41cf2ef0158ea98c7ce7670e6a3ebf18b3e;bcdcbf8f4342923525287a947f6ec72c2e54d03306c1dbe7cdb4f5f04405daae;cc99927fc78b4b97a2d38dcea637b6f5066bdb3e03657c3a8a7de4c794cbb205;ecdc833cec81de9c4d9907b37d749490905b1c9aa80eef3ff5119d24038d1c09,19.5,17,20,1fe6f1fea9bcb64e62af22bfd8e342d69236adbd2b98c6af9bd914293161457b,19,True,True
