env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,condition,num_unique_notebook_hashes,notebook_hash,notebook_size_lines,min_notebook_size_lines,max_notebook_size_lines,source_notebook_hash,source_notebook_size_lines,reference_prompt_matches_template,updater_prompt_notebook_matches_state
frozen_lake,22,8,160,40,0.25,0.25,0.07071067811865474,0.024999999999999994,0.15,0.35,updated,5,4f5d1dc32855eeb0589c2a828dfba3f97691b1454e7002d333d7001dca35b538;56d5c376b889b7bdc3ff57fd1e0aef743e3999b068e23eaa6a4c35eab0142002;9cb9fa2a5a66eab376ec0009834f0cec21dbcd53c04b3de2cf659e6f918d3f2c;b48cb9fd5662aed67de941029cf5df3791fed63fe04123d213abbfa57fb99e5c;f1c9d2baf58f6e6dbabc22b0dc4f115bd1b715bc87287fc843c26148e4dd177a,19.625,18,20,9855688646d13f59545a6dc8954d64cf178e0ffe8339cb269cb12cffebea8960,21,True,True
frozen_lake,26,8,160,37,0.23125,0.23125,0.07529703086538578,0.026621520564063528,0.15,0.4,original,1,8938fbc9f6d44a06b9fa20c539f42866d3a4ed21a6e211a5f15a8f4d1839e2c0,21.0,21,21,8938fbc9f6d44a06b9fa20c539f42866d3a4ed21a6e211a5f15a8f4d1839e2c0,21,True,True
frozen_lake,26,8,160,35,0.21875,0.21875,0.09234059624177068,0.03264733089068254,0.05,0.3,updated,8,153b67dccf22064cc59337492eeacfad7214f3b0af3eac75f9900ebb13da6137;39672779fdb2b8810c2fad186b3e86043bbf97a1dbd73f7e5d673f3528b4c7c1;52a7f5c5ab5fd0273bb0fa02032d70344f02806710b31866602b133763ba5371;692a1d947382051a7e72f7b2ad1191d52370830ebdecee399926c6b2303c1080;86c20e82d8d3e959bb7eb459ef20f0c8716eedb51a50db421b511c5864a414f6;8938fbc9f6d44a06b9fa20c539f42866d3a4ed21a6e211a5f15a8f4d1839e2c0;c0084130a4b73cb8a8d266dae945dab4e0afa6423dca0d4ee58fdab0e3c7c42d;c371038fdae68b1110273de5d5127799bd68f7afb46518591d29db65c48099e1,21.625,19,23,8938fbc9f6d44a06b9fa20c539f42866d3a4ed21a6e211a5f15a8f4d1839e2c0,21,True,True
frozen_lake,30,8,160,42,0.2625,0.2625,0.0876274581884664,0.030980984951602626,0.15,0.35,original,1,fe8d614fc0781c1d14adb47e89586344b0c7368cd969acd89f69679a1253c637,24.0,24,24,fe8d614fc0781c1d14adb47e89586344b0c7368cd969acd89f69679a1253c637,24,True,True
frozen_lake,30,8,160,43,0.26875,0.26875,0.06512350903146596,0.023024637425406475,0.2,0.4,updated,7,02cc804ab4627775680f7d662711cb185d536530e433fe1875eb43d401c82ad6;3afaa193207f1a5b089efe1de68d77c3a438ec7bead4286a348d6d29d6a8ee66;8beda89b787f3302ab32703fa2901b3ed99a021e0d15cd5c7d37d947e1d89cd6;a52b080512ea229aa16b1c007067e1b83e534affb365a3210bdce5797cbd41b2;cf8584554b2ab75dad607fe91f3b326a83889812e2082ca8dc8762bc406cb7af;d3c012129a49046eef4eafef2f2c05d05f2d32380cf4f77035a2e33d39dfe8dd;fe8d614fc0781c1d14adb47e89586344b0c7368cd969acd89f69679a1253c637,24.375,24,25,fe8d614fc0781c1d14adb47e89586344b0c7368cd969acd89f69679a1253c637,24,True,True
frozen_lake,34,8,160,46,0.2875,0.2875,0.051754916950676556,0.01829812636778499,0.2,0.35,original,1,a43398d4a4e10e83f9102b7f63819a379766981a65d1ebf9ade25ad8970cccff,25.0,25,25,a43398d4a4e10e83f9102b7f63819a379766981a65d1ebf9ade25ad8970cccff,25,True,True
frozen_lake,34,8,160,42,0.2625,0.2625,0.051754916950676556,0.01829812636778499,0.2,0.35,updated,7,1c4039f0b4dadfe7a33215c538a3bc02e11d3744cd87cb220dc4e5db35eaad3c;88fe9587c4f90a3c5ee79d3b659232fc1100724ec9301193d2363a5b32c3084f;9c6de456d91d28ec31bcbb50901f54b14089132d277ded331377314d49480c0f;a43398d4a4e10e83f9102b7f63819a379766981a65d1ebf9ade25ad8970cccff;ae60b60d8acbfbdc173624df9365ceed10225a98453e4c150b58a917dc8f44fe;d7319bfbce59607309694c4acdbec13a7c01af7cfc7cb8ff6f5f6895b20be31a;eba744dc1caf858693a6185c54090b16441946fc91af27665ae56cfa0c4b55f9,25.375,25,26,a43398d4a4e10e83f9102b7f63819a379766981a65d1ebf9ade25ad8970cccff,25,True,True
frozen_lake,38,8,160,44,0.275,0.275,0.046291004988627565,0.016366341767699424,0.2,0.35,original,1,138fecb6c7f9315b311d4d8c79e98303cf6255c169ac43f88e64e2cd8536442b,24.0,24,24,138fecb6c7f9315b311d4d8c79e98303cf6255c169ac43f88e64e2cd8536442b,24,True,True
frozen_lake,38,8,160,41,0.25625,0.25625,0.04955156044825573,0.017519122205668373,0.2,0.3,updated,7,138fecb6c7f9315b311d4d8c79e98303cf6255c169ac43f88e64e2cd8536442b;2287ba44847cdf884ca946cd3bf57bf6daed10abe20f048ea82e4eaf4040ba12;2418444fe6eb3dfe5d06aa7d6065c3cc2bfb339b8ebf739c9e21565f3609053b;7d7fa52635933de976a3e9505933c8167109d0264e4ada091de2ad21357fdff9;b8ea7d764964965bb37371df2d51b49efbf41452924ea3317ac872ca3ccfb175;d2af73a3013520fbaf620a77faee025093f654cfa656c64d81ef41bb9869e984;e51ad2937654aacd0ec67d2fcabb3758fca983c1df8a4a3347579a3ca7a7e2f8,24.75,24,25,138fecb6c7f9315b311d4d8c79e98303cf6255c169ac43f88e64e2cd8536442b,24,True,True
sokoban,2,8,160,56,0.35,0.35,0.1,0.035355339059327376,0.2,0.45,original,1,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11.0,11,11,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True,True
