env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,notebook_hash,notebook_size_lines,reference_prompt_matches_template
frozen_lake,32,8,80,17,0.2125,0.2125,0.11259916264596033,0.03980981573144277,0.1,0.4,72c448e7bb19cf77cbfc5b79a53808f85dc07f7ab1db42b5e9599ce351740f58,24,True
frozen_lake,33,8,80,34,0.425,0.425,0.12817398889233114,0.04531634835874828,0.2,0.6,bd3b10515582c553b2fe553fecdf89f7066e8f9fb21255dcf38d298bc214b688,24,True
frozen_lake,34,8,80,37,0.4625,0.46249999999999997,0.18468119248354134,0.06529466178136506,0.2,0.7,0caf64803526b8856665db40dd62ea54eb01ba2e9ba181f23a3702d02c4fd72e,25,True
frozen_lake,35,8,80,38,0.475,0.475,0.1388730149658827,0.04909902530309827,0.3,0.7,0caf64803526b8856665db40dd62ea54eb01ba2e9ba181f23a3702d02c4fd72e,25,True
frozen_lake,36,8,80,33,0.4125,0.4125,0.17268882005337974,0.06105471784742413,0.2,0.6,0caf64803526b8856665db40dd62ea54eb01ba2e9ba181f23a3702d02c4fd72e,25,True
frozen_lake,37,8,80,35,0.4375,0.4375,0.1685018016012207,0.0595743832771867,0.2,0.7,2d427f5ed678eb6e626b065a56c7c824caffceb3ec46c9d9546c7ccf5ddfc53e,19,True
frozen_lake,38,8,80,25,0.3125,0.3125,0.1457737973711325,0.051538820320220745,0.2,0.6,1f55f9d199573ea5c2af2ddb1d05fa505405012a2d839780ebf5a595230a372e,17,True
frozen_lake,39,8,80,25,0.3125,0.3125,0.15526475085202968,0.05489437910335498,0.2,0.6,ce84a1917c64c8514cfe4fed7feb4e73de06955293f949057f59b211fc9424f3,17,True
frozen_lake,40,8,80,13,0.1625,0.1625,0.1407885953173359,0.049776285231308406,0.0,0.4,99673d5a7ac3388019126572966801544f7ba97621fcbd31f33c35ba6d6f0154,18,True
sokoban,1,8,80,36,0.45,0.45,0.17728105208558365,0.06267831705280086,0.2,0.7,0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b,11,True
sokoban,2,8,80,25,0.3125,0.3125,0.14577379737113252,0.05153882032022076,0.1,0.5,edfe140dd189905d60428ab1e2b8ab620987db65f2827a2cf876ac48720920da,13,True
sokoban,3,8,80,27,0.3375,0.3375,0.2263846284534354,0.0800390529679106,0.0,0.7,1231b13e4d9e3e3ca5c2817a7d90bded1e2b95c147be32514e09c485b80a390c,14,True
sokoban,4,8,80,33,0.4125,0.4125,0.12464234547582248,0.04406772385447523,0.2,0.6,cbeb6d47b76816c43ce2f031f4fa4eb0043c69719c6657fa99a6f0e9eb72c5c6,12,True
sokoban,5,8,80,27,0.3375,0.3375,0.19955307206712847,0.07055266523263717,0.0,0.6,cbeb6d47b76816c43ce2f031f4fa4eb0043c69719c6657fa99a6f0e9eb72c5c6,12,True
sokoban,6,8,80,13,0.1625,0.1625,0.13024701806293193,0.04604927485081295,0.0,0.4,ad843948668b229a0527d2bdab87fde1151271a992b9326812630933e4316c61,14,True
sokoban,7,8,80,20,0.25,0.25,0.1414213562373095,0.049999999999999996,0.1,0.4,35f8f4354246e30bc09669c6bda49c081b5172eba79de3134070b0fc39ff2fb1,15,True
sokoban,8,8,80,23,0.2875,0.28750000000000003,0.1246423454758225,0.04406772385447524,0.1,0.4,da47afde67724dba5c03c064295732cf039334b76fb9b2e4d1b99ac5aa6c4ab2,16,True
sokoban,9,8,80,28,0.35,0.35,0.07559289460184546,0.02672612419124244,0.3,0.5,9f480f6b10c261a9f9392513ef4451b90a04805ce7daa08bdd8331c12d3fe609,17,True
sokoban,10,8,80,26,0.325,0.325,0.15811388300841897,0.05590169943749474,0.2,0.6,9f480f6b10c261a9f9392513ef4451b90a04805ce7daa08bdd8331c12d3fe609,17,True
sokoban,11,8,80,20,0.25,0.25,0.10690449676496976,0.03779644730092272,0.1,0.4,9f480f6b10c261a9f9392513ef4451b90a04805ce7daa08bdd8331c12d3fe609,17,True
sokoban,12,8,80,25,0.3125,0.3125,0.09910312089651149,0.03503824441133676,0.1,0.4,92be28a4602141e5cb9c6f0741bec750ad04b48e5a2662b07f185af796f1c980,18,True
sokoban,13,8,80,19,0.2375,0.23750000000000002,0.15059406173077153,0.05324304112812704,0.1,0.5,92be28a4602141e5cb9c6f0741bec750ad04b48e5a2662b07f185af796f1c980,18,True
sokoban,14,8,80,21,0.2625,0.2625,0.10606601717798213,0.0375,0.1,0.4,92be28a4602141e5cb9c6f0741bec750ad04b48e5a2662b07f185af796f1c980,18,True
sokoban,15,8,80,39,0.4875,0.4875,0.1457737973711325,0.051538820320220745,0.3,0.7,f699a49f733ab417b52f4c7b5eca18ab9ce419d40c449186d6e123783e742dcd,13,True
sokoban,16,8,80,32,0.4,0.4,0.16035674514745463,0.05669467095138408,0.1,0.6,dd6ce385ac849f12239e19de7f6c727169c8a2745ccb5c697d54d65820eb51d9,14,True
sokoban,17,8,80,30,0.375,0.375,0.11649647450214351,0.0411877235523957,0.2,0.5,7686914699c25cc9e9464ca14f8c91d5454605c817c6b71c0732c91b2588df74,15,True
sokoban,18,8,80,38,0.475,0.475,0.21876275473019363,0.07734431367038469,0.2,0.9,afa4cc54961578ef30eec28600ee2754c7832c332565cad5543290e2a2bc1ce2,16,True
sokoban,19,8,80,36,0.45,0.45,0.1851640199545103,0.06546536707079771,0.1,0.7,f6e34e5c93f7fe546aab98737df6341e7757df8b292eab4c9b1d9971fe2bc955,18,True
sokoban,20,8,80,28,0.35,0.35000000000000003,0.13093073414159542,0.046291004988627565,0.2,0.5,a30715c64b1cf14e45d2ca03682d6958d0dcbec4c96717eeb7074c117be74ac1,20,True
sokoban,21,8,80,29,0.3625,0.3625,0.18468119248354137,0.06529466178136507,0.1,0.7,9b630d3155c2d60e24d6eba970a62c9592850dfef3df8bc07045c1c90be5b657,19,True
sokoban,22,8,80,28,0.35,0.35,0.1690308509457033,0.059761430466719674,0.2,0.6,75175286a5a640ec498fe4edeee4d1ea11d83be8955d2a862392bd9cb2b53a38,20,True
sokoban,23,8,80,36,0.45,0.45,0.1690308509457033,0.059761430466719674,0.2,0.6,3a1012ecd2edd15653474f6d9fd7a2cd37b5c4ded04e9139604d9b171d1da109,21,True
