env,state_x,sample_y,num_games,num_success,pass_rate,mean_reward,std_reward,min_reward,max_reward,notebook_hash,notebook_size_lines,reference_prompt_matches_template
frozen_lake,5,6,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,97c2de08841fd45bf72a0461154b857beae276c7aef0e76cde8280e82af2d550,16,True
frozen_lake,5,7,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,97c2de08841fd45bf72a0461154b857beae276c7aef0e76cde8280e82af2d550,16,True
frozen_lake,5,8,10,3,0.3,0.3,0.48304589153964794,0.0,1.0,97c2de08841fd45bf72a0461154b857beae276c7aef0e76cde8280e82af2d550,16,True
frozen_lake,6,1,10,0,0.0,0.0,0.0,0.0,0.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,2,10,3,0.3,0.3,0.48304589153964794,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,3,10,1,0.1,0.1,0.31622776601683794,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,4,10,6,0.6,0.6,0.5163977794943223,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,5,10,1,0.1,0.1,0.31622776601683794,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,6,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,7,10,3,0.3,0.3,0.48304589153964794,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,6,8,10,6,0.6,0.6,0.5163977794943223,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,1,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,2,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,3,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,4,10,2,0.2,0.2,0.4216370213557839,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,5,10,5,0.5,0.5,0.5270462766947299,0.0,1.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
frozen_lake,7,6,10,0,0.0,0.0,0.0,0.0,0.0,53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86,16,True
