source,variant,run,env,state_x,condition,sample_y,num_games,successes,pass_rate,complete_sample
origlogs,mechanism,origlogs_mechanism,frozen_lake,4,updated,8,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,1,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,2,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,3,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,4,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,5,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,6,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,7,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,original,8,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,1,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,2,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,3,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,6,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,7,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,5,updated,8,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,1,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,2,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,3,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,5,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,6,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,7,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,original,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,1,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,2,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,3,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,4,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,6,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,7,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,6,updated,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,1,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,2,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,3,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,4,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,5,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,6,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,7,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,original,8,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,3,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,5,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,6,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,7,updated,7,20,7,0.35,True
