source,variant,run,env,state_x,condition,num_samples,total_games,mean_sample_pass_rate,median_sample_pass_rate,std_sample_pass_rate
origlogs,mechanism,origlogs_mechanism,frozen_lake,29,updated,8,160,0.45,0.42500000000000004,0.12817398889233114
origlogs,mechanism,origlogs_mechanism,frozen_lake,30,original,8,160,0.44375000000000003,0.45,0.03204349722308278
origlogs,mechanism,origlogs_mechanism,frozen_lake,30,updated,8,160,0.48125,0.5,0.07529703086538579
origlogs,mechanism,origlogs_mechanism,frozen_lake,31,original,8,160,0.47500000000000003,0.475,0.06546536707079774
origlogs,mechanism,origlogs_mechanism,frozen_lake,31,updated,8,160,0.36875,0.4,0.10669549461635469
origlogs,mechanism,origlogs_mechanism,frozen_lake,32,original,8,160,0.2,0.2,0.04629100498862757
origlogs,mechanism,origlogs_mechanism,frozen_lake,32,updated,8,160,0.3375,0.32499999999999996,0.14820352800890307
origlogs,mechanism,origlogs_mechanism,frozen_lake,33,original,8,160,0.5125,0.5,0.05175491695067656
origlogs,mechanism,origlogs_mechanism,frozen_lake,33,updated,8,160,0.4,0.375,0.15811388300841894
origlogs,mechanism,origlogs_mechanism,frozen_lake,34,original,8,160,0.5625,0.55,0.06408699444616556
origlogs,mechanism,origlogs_mechanism,frozen_lake,34,updated,8,160,0.51875,0.5,0.07989949043284675
origlogs,mechanism,origlogs_mechanism,frozen_lake,35,original,8,160,0.51875,0.525,0.053033008588991064
origlogs,mechanism,origlogs_mechanism,frozen_lake,35,updated,8,160,0.41875,0.42500000000000004,0.11933596033288303
origlogs,mechanism,origlogs_mechanism,frozen_lake,36,original,8,160,0.5625,0.55,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,frozen_lake,36,updated,8,160,0.575,0.575,0.0801783725737273
origlogs,mechanism,origlogs_mechanism,frozen_lake,37,original,8,160,0.50625,0.5,0.056299581322980165
origlogs,mechanism,origlogs_mechanism,frozen_lake,37,updated,8,160,0.48125,0.45,0.09613049166924835
origlogs,mechanism,origlogs_mechanism,frozen_lake,38,original,8,160,0.2875,0.275,0.07440238091428449
origlogs,mechanism,origlogs_mechanism,frozen_lake,38,updated,8,160,0.29375,0.3,0.05629958132298017
origlogs,mechanism,origlogs_mechanism,frozen_lake,39,original,8,160,0.36875,0.375,0.037201190457142264
origlogs,mechanism,origlogs_mechanism,frozen_lake,39,updated,8,160,0.33749999999999997,0.35,0.08345229603962802
origlogs,mechanism,origlogs_mechanism,frozen_lake,40,original,8,160,0.39375,0.4,0.04955156044825575
origlogs,mechanism,origlogs_mechanism,frozen_lake,40,updated,8,160,0.34375,0.35,0.11160357137142675
origlogs,mechanism,origlogs_mechanism,sokoban,1,original,8,160,0.38125,0.4,0.025877458475338306
origlogs,mechanism,origlogs_mechanism,sokoban,1,updated,8,160,0.35,0.35,0.09636241116594316
origlogs,mechanism,origlogs_mechanism,sokoban,2,original,8,160,0.34375,0.35,0.07288689868556626
origlogs,mechanism,origlogs_mechanism,sokoban,2,updated,8,160,0.475,0.45,0.11649647450214351
origlogs,mechanism,origlogs_mechanism,sokoban,3,original,8,160,0.35625,0.375,0.10500850305706541
origlogs,mechanism,origlogs_mechanism,sokoban,3,updated,8,160,0.3,0.3,0.06546536707079771
origlogs,mechanism,origlogs_mechanism,sokoban,4,original,8,160,0.34375,0.32499999999999996,0.07763237542601485
origlogs,mechanism,origlogs_mechanism,sokoban,4,updated,8,160,0.28125,0.3,0.06512350903146596
origlogs,mechanism,origlogs_mechanism,sokoban,5,original,8,160,0.3625,0.35,0.08345229603962802
origlogs,mechanism,origlogs_mechanism,sokoban,5,updated,8,160,0.39375,0.375,0.12659694196261503
origlogs,mechanism,origlogs_mechanism,sokoban,6,original,8,160,0.33125,0.35,0.05938674695827104
origlogs,mechanism,origlogs_mechanism,sokoban,6,updated,8,160,0.3375,0.35,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,sokoban,7,original,8,160,0.35,0.35,0.053452248382484885
origlogs,mechanism,origlogs_mechanism,sokoban,7,updated,8,160,0.33749999999999997,0.35,0.058248237251071755
origlogs,mechanism,origlogs_mechanism,sokoban,8,original,8,160,0.375,0.4,0.07559289460184546
origlogs,mechanism,origlogs_mechanism,sokoban,8,updated,8,160,0.3625,0.35,0.05175491695067658
origlogs,mechanism,origlogs_mechanism,sokoban,9,original,8,160,0.38125,0.4,0.11319231422671772
origlogs,mechanism,origlogs_mechanism,sokoban,9,updated,8,160,0.34375,0.3,0.062321172737911254
origlogs,mechanism,origlogs_mechanism,sokoban,10,original,8,160,0.325,0.32499999999999996,0.05976143046671969
origlogs,mechanism,origlogs_mechanism,sokoban,10,updated,8,160,0.33125,0.3,0.06512350903146596
origlogs,mechanism,origlogs_mechanism,sokoban,11,original,8,160,0.34375,0.35,0.08210402808980465
origlogs,mechanism,origlogs_mechanism,sokoban,11,updated,8,160,0.3125,0.275,0.07905694150420949
origlogs,mechanism,origlogs_mechanism,sokoban,12,original,8,160,0.35625,0.35,0.07288689868556626
origlogs,mechanism,origlogs_mechanism,sokoban,12,updated,8,160,0.3375,0.35,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,sokoban,13,original,8,160,0.36875,0.375,0.08425090080061036
origlogs,mechanism,origlogs_mechanism,sokoban,13,updated,8,160,0.375,0.35,0.16690459207925604
origlogs,mechanism,origlogs_mechanism,sokoban,14,original,8,160,0.34375,0.375,0.10835622468770047
origlogs,mechanism,origlogs_mechanism,sokoban,14,updated,8,160,0.30625,0.3,0.06781013409302687
origlogs,mechanism,origlogs_mechanism,sokoban,15,original,8,160,0.33125,0.35,0.07989949043284678
origlogs,mechanism,origlogs_mechanism,sokoban,15,updated,8,160,0.34375,0.35,0.12374368670764582
origlogs,mechanism,origlogs_mechanism,sokoban,16,original,8,160,0.38125,0.35,0.0923405962417707
origlogs,mechanism,origlogs_mechanism,sokoban,16,updated,8,160,0.35625,0.375,0.05629958132298018
origlogs,mechanism,origlogs_mechanism,sokoban,17,original,8,160,0.36875,0.375,0.07529703086538578
origlogs,mechanism,origlogs_mechanism,sokoban,17,updated,8,160,0.375,0.375,0.09258200997725514
origlogs,mechanism,origlogs_mechanism,sokoban,18,original,8,160,0.3125,0.35,0.05824823725107174
origlogs,mechanism,origlogs_mechanism,sokoban,18,updated,8,160,0.375,0.375,0.08864052604279185
origlogs,mechanism,origlogs_mechanism,sokoban,19,original,8,160,0.3125,0.35,0.07440238091428449
origlogs,mechanism,origlogs_mechanism,sokoban,19,updated,8,160,0.3125,0.3,0.06408699444616557
