"env","state_x","source_shard","num_samples","total_games","total_success","overall_pass_rate","mean_sample_pass_rate","std_sample_pass_rate","sem_sample_pass_rate","min_sample_pass_rate","max_sample_pass_rate","notebook_hash","notebook_size_lines","complete_state"
"frozen_lake","1","0","8","80","1","0.0125","0.0125","0.0353553390593274","0.0125","0","0.1","0e61043d9626e44e976ccfc887a7d3559fce5744e69799100b9533cba51da21b","11","True"
"frozen_lake","2","1","8","80","13","0.1625","0.1625","0.106066017177982","0.0375","0","0.3","11b2efca10c7b11ca42f4ab140649b21f2eda78d249edd04b77359020124be62","14","True"
"frozen_lake","3","2","8","80","13","0.1625","0.1625","0.130247018062932","0.0460492748508129","0","0.4","11b2efca10c7b11ca42f4ab140649b21f2eda78d249edd04b77359020124be62","14","True"
"frozen_lake","4","3","8","80","14","0.175","0.175","0.128173988892331","0.0453163483587483","0","0.4","11b2efca10c7b11ca42f4ab140649b21f2eda78d249edd04b77359020124be62","14","True"
"frozen_lake","5","0","8","80","15","0.1875","0.1875","0.15526475085203","0.054894379103355","0","0.5","97c2de08841fd45bf72a0461154b857beae276c7aef0e76cde8280e82af2d550","16","True"
"frozen_lake","6","1","8","80","21","0.2625","0.2625","0.168501801601221","0.0595743832771867","0.1","0.5","53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86","16","True"
"frozen_lake","7","2","8","80","20","0.25","0.25","0.160356745147455","0.0566946709513841","0","0.5","53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86","16","True"
"frozen_lake","8","3","8","80","21","0.2625","0.2625","0.106066017177982","0.0375","0.1","0.4","53f8f31616e9bd12effc6729ea9029bc2afb5a3cfbfb6fe5a759dc23225e1c86","16","True"
"frozen_lake","9","0","8","80","21","0.2625","0.2625","0.106066017177982","0.0375","0.2","0.5","6240740a9b21069f8f4cba3a3e3038d32520e2dd6071caaf6091b9bf67ca9b36","15","True"
"frozen_lake","10","1","8","80","21","0.2625","0.2625","0.118773493916542","0.041992771486803","0.1","0.4","6240740a9b21069f8f4cba3a3e3038d32520e2dd6071caaf6091b9bf67ca9b36","15","True"
