"env","state_x","source_shard","sample_y","num_games","num_success","pass_rate","mean_reward","std_reward","min_reward","max_reward","complete_sample"
"frozen_lake","10","1","8","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","11","2","1","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","11","2","2","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","11","2","3","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","11","2","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","11","2","5","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","11","2","6","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","11","2","7","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","11","2","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","12","3","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","12","3","2","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","12","3","3","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","12","3","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","12","3","5","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","12","3","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","12","3","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","12","3","8","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","13","0","1","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","13","0","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","13","0","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","13","0","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","13","0","5","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","13","0","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","13","0","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","13","0","8","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","14","1","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","14","1","2","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","14","1","3","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","14","1","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","14","1","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","14","1","6","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","14","1","7","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","14","1","8","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","15","2","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","15","2","2","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","15","2","3","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","15","2","4","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","15","2","5","10","0","0","0","0","0","0","True"
"frozen_lake","15","2","6","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","15","2","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","15","2","8","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","16","3","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","16","3","2","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","16","3","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","16","3","4","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","16","3","5","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","16","3","6","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","16","3","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","16","3","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","17","0","1","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","17","0","2","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","17","0","3","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","17","0","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","17","0","5","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","17","0","6","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","17","0","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","17","0","8","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","18","1","1","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","18","1","2","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","18","1","3","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","18","1","4","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","18","1","5","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","18","1","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","18","1","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","18","1","8","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","19","2","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","19","2","2","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","19","2","3","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","19","2","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","19","2","5","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","19","2","6","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","19","2","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","19","2","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","20","3","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","20","3","2","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","20","3","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","20","3","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","20","3","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","20","3","6","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","20","3","7","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","20","3","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","21","0","1","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","21","0","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","21","0","3","10","0","0","0","0","0","0","True"
"frozen_lake","21","0","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","21","0","5","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","21","0","6","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","21","0","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","21","0","8","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","22","1","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","22","1","2","10","0","0","0","0","0","0","True"
"frozen_lake","22","1","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","22","1","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","22","1","5","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","22","1","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","22","1","7","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","22","1","8","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","23","2","1","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","23","2","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","23","2","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","23","2","4","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","23","2","5","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","23","2","6","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","23","2","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","23","2","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","24","3","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","24","3","2","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","24","3","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","24","3","4","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","24","3","5","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","24","3","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","24","3","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","24","3","8","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","25","0","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","25","0","2","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","25","0","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","25","0","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","25","0","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","25","0","6","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","25","0","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","25","0","8","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","26","1","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","26","1","2","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","26","1","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","26","1","4","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","26","1","5","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","26","1","6","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","26","1","7","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","26","1","8","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","27","2","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","27","2","2","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","27","2","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","27","2","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","27","2","5","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","27","2","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","27","2","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","27","2","8","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","28","3","1","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","28","3","2","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","28","3","3","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","28","3","4","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","28","3","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","28","3","6","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","28","3","7","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","28","3","8","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","29","0","1","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","29","0","2","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","29","0","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","29","0","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","29","0","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","29","0","6","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","29","0","7","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","29","0","8","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","30","1","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","30","1","2","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","30","1","3","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","30","1","4","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","30","1","5","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","30","1","6","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","30","1","7","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","30","1","8","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","31","2","1","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","31","2","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","31","2","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","31","2","4","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","31","2","5","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","31","2","6","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","31","2","7","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","31","2","8","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","32","3","1","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","32","3","2","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","32","3","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","32","3","4","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","32","3","5","10","1","0.1","0.1","0.316227766016838","0","1","True"
"frozen_lake","32","3","6","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","32","3","7","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","32","3","8","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","33","0","1","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","33","0","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","33","0","3","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","33","0","4","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","33","0","5","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","33","0","6","10","4","0.4","0.4","0.516397779494322","0","1","True"
"frozen_lake","33","0","7","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","33","0","8","10","8","0.8","0.8","0.421637021355784","0","1","True"
"frozen_lake","34","1","1","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","34","1","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","34","1","3","10","3","0.3","0.3","0.483045891539648","0","1","True"
"frozen_lake","34","1","4","10","2","0.2","0.2","0.421637021355784","0","1","True"
"frozen_lake","34","1","5","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","34","1","6","10","8","0.8","0.8","0.421637021355784","0","1","True"
"frozen_lake","34","1","7","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","34","1","8","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","35","2","1","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","35","2","2","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","35","2","3","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","35","2","4","10","6","0.6","0.6","0.516397779494322","0","1","True"
"frozen_lake","35","2","5","10","5","0.5","0.5","0.52704627669473","0","1","True"
"frozen_lake","35","2","6","10","7","0.7","0.7","0.483045891539648","0","1","True"
"frozen_lake","35","2","7","10","4","0.4","0.4","0.516397779494322","0","1","True"
